Bee species	Flower genus	Flower species	Flower family	Females	Males
	Wahlenbergia		Campanulaceae		2
	Westringia		Lamiaceae	1	1
	Xerochrysum	bracteatum	Asteraceae	5	
Lasioglossum (Chilalictus) latichilum					
	Lepidium	leptopetalum	Brassicaceae	4	
	Leucochrysum	albicans	Asteraceae	1	
Lasioglossum (Chilalictus) lineatum					
	Acacia	pendula	Fabaceae	1	
	Amyema		Loranthaceae	1	
	Eremophila	bignoniiflora	Scrophulariaceae	1	
	Eremophila	maculata	Scrophulariaceae	4	
	Eremophila	mitchellii	Scrophulariaceae	2	
Lasioglossum (Chilalictus) littleri					
	Taraxacum	officinale	Asteraceae	1	
	Acacia	melanoxylon	Fabaceae		1
	Acacia	myrtifolia	Fabaceae	1	
	Calotis	cuneifolia	Asteraceae	1	
	Calytrix	tetragona	Myrtaceae	1	2
